"fileName","cleanTitle","url","date","size","genre","rating"
"Ace Combat 04 - Shattered Skies (USA).zip","Ace Combat 04 - Shattered Skies","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ace%20Combat%2004%20-%20Shattered%20Skies%20%28USA%29.zip","28-Mar-2022 22:25","2.6 GiB","Sports",8.8
"Ace Combat 5 - The Unsung War (USA) (En,Ja).zip","Ace Combat 5 - The Unsung War","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ace%20Combat%205%20-%20The%20Unsung%20War%20%28USA%29%20%28En%2CJa%29.zip","29-Mar-2022 05:26","3.4 GiB","Shooter",9.0
"Ace Combat Zero - The Belkan War (USA).zip","Ace Combat Zero - The Belkan War","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ace%20Combat%20Zero%20-%20The%20Belkan%20War%20%28USA%29.zip","30-Mar-2022 03:12","3.0 GiB","Shooter",8.8
"Amplitude (USA).zip","Amplitude","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Amplitude%20%28USA%29.zip","28-Mar-2022 20:57","1.5 GiB","Music/Rhythm",8.6
"Ar Tonelico - Melody of Elemia (USA).zip","Ar Tonelico - Melody of Elemia","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ar%20Tonelico%20-%20Melody%20of%20Elemia%20%28USA%29.zip","18-Feb-2025 03:47","2.6 GiB","RPG",8.0
"Ar Tonelico II - Melody of Metafalica (USA).zip","Ar Tonelico II - Melody of Metafalica","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ar%20Tonelico%20II%20-%20Melody%20of%20Metafalica%20%28USA%29.zip","18-Feb-2025 03:48","3.6 GiB","RPG",8.2
"Arc the Lad - Twilight of the Spirits (USA).zip","Arc the Lad - Twilight of the Spirits","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Arc%20the%20Lad%20-%20Twilight%20of%20the%20Spirits%20%28USA%29.zip","30-Mar-2022 04:57","2.5 GiB","Action",8.1
"Area 51 (USA).zip","Area 51","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Area%2051%20%28USA%29.zip","30-Mar-2022 08:54","2.4 GiB","Shooter",7.5
"Armored Core - Last Raven (USA).zip","Armored Core - Last Raven","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Armored%20Core%20-%20Last%20Raven%20%28USA%29.zip","29-Mar-2022 16:23","2.1 GiB","Action",8.5
"Armored Core 3 (USA).zip","Armored Core 3","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Armored%20Core%203%20%28USA%29.zip","29-Mar-2022 17:51","1.1 GiB","Action",8.4
"Army Men - Sarge's War (Europe) (En,Fr,De,Es,It).zip","Army Men - Sarge's War","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Army%20Men%20-%20Sarge%27s%20War%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip","28-Mar-2022 23:25","3.0 GiB","Shooter",7.0
"Atelier Iris - Eternal Mana (USA).zip","Atelier Iris - Eternal Mana","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Atelier%20Iris%20-%20Eternal%20Mana%20%28USA%29.zip","28-Mar-2022 13:12","1.8 GiB","RPG",8.0
"Atelier Iris 2 - The Azoth of Destiny (USA).zip","Atelier Iris 2 - The Azoth of Destiny","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Atelier%20Iris%202%20-%20The%20Azoth%20of%20Destiny%20%28USA%29.zip","28-Mar-2022 09:18","1.2 GiB","RPG",8.1
"Baldur's Gate - Dark Alliance (USA).zip","Baldur's Gate - Dark Alliance","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Baldur%27s%20Gate%20-%20Dark%20Alliance%20%28USA%29.zip","29-Mar-2022 17:45","2.9 GiB","RPG",8.7
"Baldur's Gate - Dark Alliance II (USA).zip","Baldur's Gate - Dark Alliance II","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Baldur%27s%20Gate%20-%20Dark%20Alliance%20II%20%28USA%29.zip","29-Mar-2022 09:31","2.2 GiB","RPG",8.6
