fileName,cleanTitle,url,date,size,genre,rating,coverSearchUrl_thegamesdb,thegamesdbGamePage,thegamesdbDescription
Ace Combat 04 - Shattered Skies (USA).zip,Ace Combat 04 - Shattered Skies,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ace%20Combat%2004%20-%20Shattered%20Skies%20%28USA%29.zip,28-Mar-2022 22:25,2.6 GiB,Sports,8.8,https://thegamesdb.net/search.php?name=Ace%20Combat%2004%20-%20Shattered%20Skies&platform=11,https://thegamesdb.net/game.php?id=9620,"The continent of Usea was struck by an asteroid, causing the death of half a million people. The neighboring Erusea used this as an opportunity to invade and occupy almost all of Usea. Based on its eastern coast, the Independent States Allied Forces (ISAF) try to regain ground an engage the Eruseans in aerial battles. An elite pilot using the codename Mobius 1 is sent on a number of missions to fight Eruseans and help ISAF to win the war. While performing those missions, Mobius 1 begins to learn about the impact war has on civilians, and the pilots of the opposing side. Ace Combat 04: Shattered Skies is an aerial combat simulation. It allows the player to participate in semi-realistic dog-fighting with a collection of fighter jets, including the F-22 Raptor, F-16 Fighting Falcon, F-117 Nighthawk, U-2 Dragon Lady, C-130 Hercules and SR-71 Blackbird. Eighteen missions will take the player from search-and-destroy buildings to one-on-one and all-on-all dog-fighting. Along the way it becomes possible to upgrade the fighter with defense systems, deadly weapons, and other accessories."
"Ace Combat 5 - The Unsung War (USA) (En,Ja).zip",Ace Combat 5 - The Unsung War,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ace%20Combat%205%20-%20The%20Unsung%20War%20%28USA%29%20%28En%2CJa%29.zip,29-Mar-2022 05:26,3.4 GiB,Shooter,9.0,https://thegamesdb.net/search.php?name=Ace%20Combat%205%20-%20The%20Unsung%20War&platform=11,https://thegamesdb.net/game.php?id=3912,"Ace Combat 5: The Unsung War is a first person air combat and flight simulator. Like other Ace Combat games, each mission is determined by a level briefing and objectives. There are 32 missions in the main campaign mode, while an additional ""arcade"" mode puts the player in the role of Mobius One (from Ace Combat 04: Shattered Skies) as he faces endless waves of enemy attacks. Regardless of the mode chosen, once in the air the player will have control over speed, direction, altitude, gun cannon, missiles and special weapon of their aircraft. A new feature from previous Ace Combat games, is the concept of Wingmen and being able to issue simple orders to them in the air. This allows the player to better coordinated group attacks as well as giving each wingman a personality of their own. Additionally, the player as squadron leader will be asked to make decisions (""Yes/No"") while flying in the air. Between missions, the story is progressed through a series of cutscenes."
Ace Combat Zero - The Belkan War (USA).zip,Ace Combat Zero - The Belkan War,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ace%20Combat%20Zero%20-%20The%20Belkan%20War%20%28USA%29.zip,30-Mar-2022 03:12,3.0 GiB,Shooter,8.8,https://thegamesdb.net/search.php?name=Ace%20Combat%20Zero%20-%20The%20Belkan%20War&platform=11,https://thegamesdb.net/game.php?id=114244,"No overview is currently available for this title, please feel free to add one."
Amplitude (USA).zip,Amplitude,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Amplitude%20%28USA%29.zip,28-Mar-2022 20:57,1.5 GiB,Music/Rhythm,8.6,https://thegamesdb.net/search.php?name=Amplitude&platform=11,https://thegamesdb.net/game.php?id=5881,"Amplitude, the sequel to Frequency, is a fast-paced music game with over 25 levels, customizable avatars, online play with up to 4 players, and remixing. The point of the game is to play the notes to the beat while moving between different musical tracks for each song. When beginning a game, players have a few songs to choose from. More songs and items to visually customize the player character have to be unlocked. The soundtrack consists of songs by popular artists, including P.O.D. (remixed by The Crystal Method), Freezepop, Blink-182, Garbage, Weezer, David Bowie, Symbion Project, Run-DMC, Pink, Papa Roach, Slipknot and others."
Ar Tonelico - Melody of Elemia (USA).zip,Ar Tonelico - Melody of Elemia,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ar%20Tonelico%20-%20Melody%20of%20Elemia%20%28USA%29.zip,18-Feb-2025 03:47,2.6 GiB,RPG,8.0,https://thegamesdb.net/search.php?name=Ar%20Tonelico%20-%20Melody%20of%20Elemia&platform=11,https://thegamesdb.net/game.php?id=106365,"No overview is currently available for this title, please feel free to add one."
Ar Tonelico II - Melody of Metafalica (USA).zip,Ar Tonelico II - Melody of Metafalica,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Ar%20Tonelico%20II%20-%20Melody%20of%20Metafalica%20%28USA%29.zip,18-Feb-2025 03:48,3.6 GiB,RPG,8.2,https://thegamesdb.net/search.php?name=Ar%20Tonelico%20II%20-%20Melody%20of%20Metafalica&platform=11,https://thegamesdb.net/game.php?id=106368,"No overview is currently available for this title, please feel free to add one."
Arc the Lad - Twilight of the Spirits (USA).zip,Arc the Lad - Twilight of the Spirits,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Arc%20the%20Lad%20-%20Twilight%20of%20the%20Spirits%20%28USA%29.zip,30-Mar-2022 04:57,2.5 GiB,Action,8.1,https://thegamesdb.net/search.php?name=Arc%20the%20Lad%20-%20Twilight%20of%20the%20Spirits&platform=11,https://thegamesdb.net/game.php?id=9628,"Arc: Twilight of the Spirits is the fourth entry in the Arc the Lad series. Like its two immediate predecessors, the game has tactical battles which allow free positioning and movement of the characters on the combat field. However, the game is closer to being a ""regular"" Japanese-style role-playing game rather than a tactical RPG. The player controls a relatively small party (up to six active combatants), and is able to explore towns and dungeons in a standard RPG fashion. In the beginning, the game puts the player into control of Kharg, but afterwards the chapters alternate between the human hero and Darc, each with his own party. Characters can use a variety of techniques, accumulating SP (spirit points) in battles and them using them to learn special attacks."
Area 51 (USA).zip,Area 51,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Area%2051%20%28USA%29.zip,30-Mar-2022 08:54,2.4 GiB,Shooter,7.5,https://thegamesdb.net/search.php?name=Area%2051&platform=11,https://thegamesdb.net/game.php?id=5884,"Area 51 is a first person shooter, played from the perspective of the protagonist, Ethan Cole. The game does feature some operable machinery, including plasma turrets, besides the player's inventory of weapons. The player begins with a team of three other HAZMAT soldiers, who cannot be killed by the game world, unless it is scripted into the story."
Armored Core - Last Raven (USA).zip,Armored Core - Last Raven,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Armored%20Core%20-%20Last%20Raven%20%28USA%29.zip,29-Mar-2022 16:23,2.1 GiB,Action,8.5,https://thegamesdb.net/search.php?name=Armored%20Core%20-%20Last%20Raven&platform=11,https://thegamesdb.net/game.php?id=12247,"Two powerful groups, the Alliance and the Vertex, are fighting for world dominance and victory hinges upon the ""Raven"" pilots. You are a Raven, an elite mech warrior who must choose sides between the fighting powers. Ravens face the ultimate decision in the fight for survival, either to fiercely defend their chosen side or fight alone and face the wrath of all Ravens."
Armored Core 3 (USA).zip,Armored Core 3,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Armored%20Core%203%20%28USA%29.zip,29-Mar-2022 17:51,1.1 GiB,Action,8.4,https://thegamesdb.net/search.php?name=Armored%20Core%203&platform=11,https://thegamesdb.net/game.php?id=108366,"The genuine sequel to the original Armored Core. Thrown into the world of AC mechs, you must complete the objectives set for you by a range of different companies, each with a hefty pay packet attached. If the mission is completed, the money goes towards upgrades and repairs to your mech. The collection of items to upgrade your mech is fully stocked with weapons, defense systems, rocket packs and guidance systems to increase accuracy and speed. Certain missions require a particular upgrade for the mission to be completed correctly, so spending the cash wisely is important to your career. Once your mech is ready for battle, you can also take on a friend in arena mode, where one-on-one battles rage on for as long as you wish in huge outdoor areas."
